"100","IN","India","Andhra Pradesh","Jarjapupeta","91"
"101","IN","India","Andhra Pradesh","Kadiri","91"
"102","IN","India","Andhra Pradesh","Kaikalur","91"
"103","IN","India","Andhra Pradesh","Kakinada","91"
"104","IN","India","Andhra Pradesh","Kallur","91"
"105","IN","India","Andhra Pradesh","Kalyandurg","91"
"106","IN","India","Andhra Pradesh","Kamalapuram","91"
"107","IN","India","Andhra Pradesh","Kamareddi","91"
"108","IN","India","Andhra Pradesh","Kanapaka","91"
"109","IN","India","Andhra Pradesh","Kanigiri","91"
"110","IN","India","Andhra Pradesh","Kanithi","91"
"111","IN","India","Andhra Pradesh","Kankipadu","91"
"112","IN","India","Andhra Pradesh","Kantabamsuguda","91"
"113","IN","India","Andhra Pradesh","Kanuru","91"
"114","IN","India","Andhra Pradesh","Karnul","91"
"115","IN","India","Andhra Pradesh","Katheru","91"
"116","IN","India","Andhra Pradesh","Kavali","91"
"117","IN","India","Andhra Pradesh","Kazipet","91"
"118","IN","India","Andhra Pradesh","Khanapuram Haveli","91"
"119","IN","India","Andhra Pradesh","Kodar","91"
"120","IN","India","Andhra Pradesh","Kollapur","91"
"121","IN","India","Andhra Pradesh","Kondapalem","91"
"122","IN","India","Andhra Pradesh","Kondapalle","91"
"123","IN","India","Andhra Pradesh","Kondukur","91"
"124","IN","India","Andhra Pradesh","Kosgi","91"
"125","IN","India","Andhra Pradesh","Kothavalasa","91"
"126","IN","India","Andhra Pradesh","Kottapalli","91"
"127","IN","India","Andhra Pradesh","Kovur","91"
"128","IN","India","Andhra Pradesh","Kovurpalle","91"
"129","IN","India","Andhra Pradesh","Kovvur","91"
"130","IN","India","Andhra Pradesh","Krishna","91"
"131","IN","India","Andhra Pradesh","Kuppam","91"
"132","IN","India","Andhra Pradesh","Kurmannapalem","91"
"133","IN","India","Andhra Pradesh","Kurnool","91"
"134","IN","India","Andhra Pradesh","Lakshettipet","91"
"135","IN","India","Andhra Pradesh","Lalbahadur Nagar","91"
"136","IN","India","Andhra Pradesh","Machavaram","91"
"137","IN","India","Andhra Pradesh","Macherla","91"
"138","IN","India","Andhra Pradesh","Machilipatnam","91"
"139","IN","India","Andhra Pradesh","Madanapalle","91"
"140","IN","India","Andhra Pradesh","Madaram","91"
"141","IN","India","Andhra Pradesh","Madhuravada","91"
"142","IN","India","Andhra Pradesh","Madikonda","91"
"143","IN","India","Andhra Pradesh","Madugule","91"
"144","IN","India","Andhra Pradesh","Mahabubnagar","91"
"145","IN","India","Andhra Pradesh","Mahbubabad","91"
"146","IN","India","Andhra Pradesh","Malkajgiri","91"
"147","IN","India","Andhra Pradesh","Mamilapalle","91"
"148","IN","India","Andhra Pradesh","Mancheral","91"
"149","IN","India","Andhra Pradesh","Mandapeta","91"
"150","IN","India","Andhra Pradesh","Mandasa","91"
"151","IN","India","Andhra Pradesh","Mangalagiri","91"
"152","IN","India","Andhra Pradesh","Manthani","91"
"153","IN","India","Andhra Pradesh","Markapur","91"
"154","IN","India","Andhra Pradesh","Marturu","91"
"155","IN","India","Andhra Pradesh","Metpalli","91"
"156","IN","India","Andhra Pradesh","Mindi","91"
"157","IN","India","Andhra Pradesh","Mirpet","91"
"158","IN","India","Andhra Pradesh","Moragudi","91"
"159","IN","India","Andhra Pradesh","Mothugudam","91"
"160","IN","India","Andhra Pradesh","Nagari","91"
"161","IN","India","Andhra Pradesh","Nagireddipalle","91"
"162","IN","India","Andhra Pradesh","Nandigama","91"
"163","IN","India","Andhra Pradesh","Nandikotkur","91"
"164","IN","India","Andhra Pradesh","Nandyal","91"
"165","IN","India","Andhra Pradesh","Narasannapeta","91"
"166","IN","India","Andhra Pradesh","Narasapur","91"
"167","IN","India","Andhra Pradesh","Narasaraopet","91"
"168","IN","India","Andhra Pradesh","Narayanavanam","91"
"169","IN","India","Andhra Pradesh","Narsapur","91"
"170","IN","India","Andhra Pradesh","Narsingi","91"
"171","IN","India","Andhra Pradesh","Narsipatnam","91"
"172","IN","India","Andhra Pradesh","Naspur","91"
"173","IN","India","Andhra Pradesh","Nathayyapalem","91"
"174","IN","India","Andhra Pradesh","Nayudupeta","91"
"175","IN","India","Andhra Pradesh","Nelimaria","91"
"176","IN","India","Andhra Pradesh","Nellore","91"
"177","IN","India","Andhra Pradesh","Nidadavole","91"
"178","IN","India","Andhra Pradesh","Nuzvid","91"
"179","IN","India","Andhra Pradesh","Omerkhan daira","91"
"180","IN","India","Andhra Pradesh","Ongole","91"
"181","IN","India","Andhra Pradesh","Osmania University","91"
"182","IN","India","Andhra Pradesh","Pakala","91"
"183","IN","India","Andhra Pradesh","Palakole","91"
"184","IN","India","Andhra Pradesh","Palakurthi","91"
"185","IN","India","Andhra Pradesh","Palasa","91"
"186","IN","India","Andhra Pradesh","Palempalle","91"
"187","IN","India","Andhra Pradesh","Palkonda","91"
"188","IN","India","Andhra Pradesh","Palmaner","91"
"189","IN","India","Andhra Pradesh","Pamur","91"
"190","IN","India","Andhra Pradesh","Panjim","91"
"191","IN","India","Andhra Pradesh","Papampeta","91"
"192","IN","India","Andhra Pradesh","Parasamba","91"
"193","IN","India","Andhra Pradesh","Parvatipuram","91"
"194","IN","India","Andhra Pradesh","Patancheru","91"
"195","IN","India","Andhra Pradesh","Payakaraopet","91"
"196","IN","India","Andhra Pradesh","Pedagantyada","91"
"197","IN","India","Andhra Pradesh","Pedana","91"
"198","IN","India","Andhra Pradesh","Peddapuram","91"
"199","IN","India","Andhra Pradesh","Pendurthi","91"
"200","IN","India","Andhra Pradesh","Penugonda","91"
"201","IN","India","Andhra Pradesh","Penukonda","91"
"202","IN","India","Andhra Pradesh","Phirangipuram","91"
"203","IN","India","Andhra Pradesh","Pithapuram","91"
"204","IN","India","Andhra Pradesh","Ponnur","91"
"205","IN","India","Andhra Pradesh","Port Blair","91"
"206","IN","India","Andhra Pradesh","Pothinamallayyapalem","91"
"207","IN","India","Andhra Pradesh","Prakasam","91"
"208","IN","India","Andhra Pradesh","Prasadampadu","91"
"209","IN","India","Andhra Pradesh","Prasantinilayam","91"
"210","IN","India","Andhra Pradesh","Proddatur","91"
"211","IN","India","Andhra Pradesh","Pulivendla","91"
"212","IN","India","Andhra Pradesh","Punganuru","91"
"213","IN","India","Andhra Pradesh","Puttur","91"
"214","IN","India","Andhra Pradesh","Qutubullapur","91"
"215","IN","India","Andhra Pradesh","Rajahmundry","91"
"216","IN","India","Andhra Pradesh","Rajamahendri","91"
"217","IN","India","Andhra Pradesh","Rajampet","91"
"218","IN","India","Andhra Pradesh","Rajendranagar","91"
"219","IN","India","Andhra Pradesh","Rajoli","91"
"220","IN","India","Andhra Pradesh","Ramachandrapuram","91"
"221","IN","India","Andhra Pradesh","Ramanayyapeta","91"
"222","IN","India","Andhra Pradesh","Ramapuram","91"
"223","IN","India","Andhra Pradesh","Ramarajupalli","91"
"224","IN","India","Andhra Pradesh","Ramavarappadu","91"
"225","IN","India","Andhra Pradesh","Rameswaram","91"
"226","IN","India","Andhra Pradesh","Rampachodavaram","91"
"227","IN","India","Andhra Pradesh","Ravulapalam","91"
"228","IN","India","Andhra Pradesh","Rayachoti","91"
"229","IN","India","Andhra Pradesh","Rayadrug","91"
"230","IN","India","Andhra Pradesh","Razam","91"
"231","IN","India","Andhra Pradesh","Razole","91"
"232","IN","India","Andhra Pradesh","Renigunta","91"
"233","IN","India","Andhra Pradesh","Repalle","91"
